"Code","Label"
"DUK","UK doctorate degree"
"DZZ","Non-UK doctorate degree"
"D80","Other qualification at level D"
"MUK","UK masters degree"
"MZZ","Non-UK masters degree"
"M2X","Integrated undergraduate/postgraduate taught masters degree on the enhanced/extended pattern"
"M41","Diploma at level M"
"M44","Certificate at level M"
"M71","Postgraduate Certificate in Education or Professional Graduate Diploma in Education"
"M80","Other taught qualification at level M"
"M90","Taught work at level M for provider credit"
"HUK","UK first degree with honours"
"HZZ","Non-UK first degree"
"H11","First degree with honours leading to Qualified Teacher Status (QTS)/registration with a General Teaching Council (GTC)"
"H71","Professional Graduate Certificate in Education"
"H80","Other qualification at level H"
"JUK","UK ordinary (non-honours) first degree"
"J10","Foundation degree"
"J20","Diploma of Higher Education (DipHE)"
"J30","Higher National Diploma (HND)"
"J49","Foundation course at level J"
"J48","Certificate in Education (CertEd) or Diploma in Education (DipEd) (i.e. non-graduate initial teacher training qualification)"
"J80","Other qualification at level J"
"C20","Certificate of Higher Education (CertHE)"
"C30","Higher National Certificate (HNC)"
"C44","Higher Apprenticeship (level 4)"
"C80","Other qualification at level C"
"C90","Undergraduate credits"
"P41","Diploma at level 3"
"P42","Certificate at level 3"
"P46","Award at level 3"
"P47","AQA Baccalaureate (Bacc)"
"P50","A/AS level"
"P51","14-19 Advanced Diploma (level 3)"
"P53","Scottish Baccalaureate"
"P54","Scottish Highers/Advanced Highers"
"P62","International Baccalaureate (IB) Diploma"
"P63","International Baccalaureate (IB) Certificate"
"P64","Cambridge Pre-U Diploma"
"P65","Cambridge Pre-U Certificate"
"P68","Welsh Baccalaureate Advanced Diploma (level 3)"
"P80","Other qualification at level 3"
"P92","Level 3 qualifications of which none are subject to UCAS Tariff"
"P93","Level 3 qualifications of which all are subject to UCAS Tariff"
"P94","Level 3 qualifications of which some are subject to UCAS Tariff"
"Q51","14-19 Higher Diploma (level 2)"
"Q52","Welsh Baccalaureate Intermediate Diploma (level 2)"
"Q80","Other qualification at level 2"
"R51","14-19 Foundation Diploma (level 1)"
"R52","Welsh Baccalaureate Foundation Diploma (level 1)"
"R80","Other qualification at level 1"
"X00","Higher education (HE) access course, Quality Assurance Agency (QAA) recognised"
"X01","Higher education (HE) access course, not Quality Assurance Agency (QAA) recognised"
"X02","Mature student admitted on basis of previous experience and/or admissions test"
"X04","Other qualification level not known"
"X05","Student has no formal qualification"
"X06","Not known"
